embedding_A,embedding_B,recall_A,recall_A_or_B,recall_gain,fpr_A,fpr_A_or_B,fp_increase,f1_A,f1_A_or_B,f1_gain,slack_B_picks_up_A,slack_A_picks_up_B
marlin,arcface,0.6626794258373205,0.9090909090909091,0.24641148325358853,0.19311663479923513,0.48565965583174,0.29254302103250485,0.6959798994974874,0.7224334600760456,0.02645356057855819,103,52
marlin,magface,0.6626794258373205,0.9521531100478469,0.2894736842105263,0.19311663479923513,0.7361376673040153,0.5430210325047802,0.6959798994974874,0.6627810158201499,-0.033198883677337476,121,66
marlin,resnet,0.6626794258373205,0.868421052631579,0.20574162679425845,0.19311663479923513,0.44933078393881454,0.2562141491395794,0.6959798994974874,0.7145669291338582,0.018587029636370822,86,26
marlin,ridnet_pca_128,0.6626794258373205,0.9066985645933014,0.2440191387559809,0.19311663479923513,0.2982791586998088,0.10516252390057368,0.6959798994974874,0.7953830010493179,0.09940310155183052,102,28
marlin,ridnet_pca_128_face,0.6626794258373205,0.9234449760765551,0.26076555023923453,0.19311663479923513,0.28489483747609945,0.09177820267686432,0.6959798994974874,0.8100734522560336,0.11409355275854616,109,31
marlin,ridnet_pca_256,0.6626794258373205,0.916267942583732,0.2535885167464115,0.19311663479923513,0.32504780114722753,0.1319311663479924,0.6959798994974874,0.7888774459320288,0.0928975464345414,106,29
marlin,ridnet_pca_256_face,0.6626794258373205,0.9473684210526315,0.284688995215311,0.19311663479923513,0.36711281070745694,0.1739961759082218,0.6959798994974874,0.7872763419483101,0.09129644245082269,119,17
senet,arcface,0.8803827751196173,0.9449760765550239,0.06459330143540665,0.13766730401529637,0.5009560229445507,0.3632887189292543,0.8578088578088578,0.7348837209302326,-0.12292513687862527,27,67
senet,magface,0.8803827751196173,0.9856459330143541,0.10526315789473684,0.13766730401529637,0.7208413001912046,0.5831739961759083,0.8578088578088578,0.6826843413421707,-0.17512451646668714,44,80
senet,resnet,0.8803827751196173,0.9545454545454546,0.07416267942583732,0.13766730401529637,0.4282982791586998,0.2906309751434034,0.8578088578088578,0.7665706051873199,-0.09123825262153795,31,62
senet,ridnet_pca_128,0.8803827751196173,0.9449760765550239,0.06459330143540665,0.13766730401529637,0.2562141491395793,0.11854684512428293,0.8578088578088578,0.8342133051742344,-0.02359555263462343,27,44
senet,ridnet_pca_128_face,0.8803827751196173,0.9449760765550239,0.06459330143540665,0.13766730401529637,0.23709369024856597,0.0994263862332696,0.8578088578088578,0.8431163287086446,-0.014692529100213236,27,40
senet,ridnet_pca_256,0.8803827751196173,0.9521531100478469,0.0717703349282296,0.13766730401529637,0.26003824091778205,0.12237093690248568,0.8578088578088578,0.8361344537815126,-0.021674404027345218,30,44
senet,ridnet_pca_256_face,0.8803827751196173,0.9736842105263158,0.09330143540669855,0.13766730401529637,0.31931166347992357,0.1816443594646272,0.8578088578088578,0.8205645161290323,-0.0372443416798256,39,28
arcface,magface,0.784688995215311,0.9545454545454546,0.1698564593301436,0.41873804971319306,0.8126195028680688,0.39388145315487577,0.6797927461139897,0.642512077294686,-0.0372806688193037,71,67
arcface,resnet,0.784688995215311,0.9354066985645934,0.15071770334928236,0.41873804971319306,0.5697896749521989,0.15105162523900584,0.6797927461139897,0.7064137308039747,0.026620984689985083,63,54
arcface,ridnet_pca_128,0.784688995215311,0.9425837320574163,0.1578947368421053,0.41873804971319306,0.4875717017208413,0.06883365200764824,0.6797927461139897,0.7385192127460168,0.058726466632027186,66,43
arcface,ridnet_pca_128_face,0.784688995215311,0.9449760765550239,0.16028708133971292,0.41873804971319306,0.48565965583174,0.06692160611854692,0.6797927461139897,0.7403936269915652,0.060600880877575536,67,40
arcface,ridnet_pca_256,0.784688995215311,0.9521531100478469,0.16746411483253587,0.41873804971319306,0.5181644359464628,0.09942638623326971,0.6797927461139897,0.7322907083716651,0.052497962257675446,70,44
arcface,ridnet_pca_256_face,0.784688995215311,0.9736842105263158,0.18899521531100483,0.41873804971319306,0.5353728489483748,0.11663479923518172,0.6797927461139897,0.7366515837104073,0.05685883759641763,79,28
magface,resnet,0.7942583732057417,0.9665071770334929,0.1722488038277512,0.6902485659655831,0.8049713193116634,0.11472275334608029,0.5976597659765976,0.6500402252614642,0.052380459284866565,72,67
magface,ridnet_pca_128,0.7942583732057417,0.9665071770334929,0.1722488038277512,0.6902485659655831,0.7342256214149139,0.043977055449330726,0.5976597659765976,0.6699834162520729,0.07232365027547527,72,53
magface,ridnet_pca_128_face,0.7942583732057417,0.9712918660287081,0.17703349282296643,0.6902485659655831,0.7323135755258126,0.042065009560229405,0.5976597659765976,0.6727423363711682,0.07508257039457056,74,51
magface,ridnet_pca_256,0.7942583732057417,0.9712918660287081,0.17703349282296643,0.6902485659655831,0.751434034416826,0.06118546845124284,0.5976597659765976,0.6672144617912901,0.06955469581469242,74,52
magface,ridnet_pca_256_face,0.7942583732057417,0.9856459330143541,0.19138755980861244,0.6902485659655831,0.7533460803059273,0.06309751434034416,0.5976597659765976,0.673202614379085,0.07554284840248737,80,33
resnet,ridnet_pca_128,0.80622009569378,0.930622009569378,0.12440191387559807,0.34990439770554493,0.4225621414913958,0.07265774378585088,0.7185501066098081,0.7568093385214008,0.03825923191159264,52,38
resnet,ridnet_pca_128_face,0.80622009569378,0.9473684210526315,0.14114832535885158,0.34990439770554493,0.41682600382409174,0.0669216061185468,0.7185501066098081,0.7674418604651163,0.048891753855308195,59,41
resnet,ridnet_pca_256,0.80622009569378,0.9473684210526315,0.14114832535885158,0.34990439770554493,0.4397705544933078,0.08986615678776289,0.7185501066098081,0.7586206896551724,0.04007058304536426,59,42
resnet,ridnet_pca_256_face,0.80622009569378,0.9569377990430622,0.15071770334928225,0.34990439770554493,0.47609942638623326,0.12619502868068833,0.7185501066098081,0.7497656982193065,0.031215591609498383,63,21
ridnet_pca_128,ridnet_pca_128_face,0.8397129186602871,0.8923444976076556,0.052631578947368474,0.15105162523900573,0.20841300191204593,0.0573613766730402,0.8278301886792453,0.8288888888888889,0.0010587002096436038,22,18
ridnet_pca_128,ridnet_pca_256,0.8397129186602871,0.9282296650717703,0.08851674641148322,0.15105162523900573,0.2466539196940727,0.09560229445506696,0.8278301886792453,0.8299465240641711,0.002116335384925838,37,34
ridnet_pca_128,ridnet_pca_256_face,0.8397129186602871,0.9401913875598086,0.1004784688995215,0.15105162523900573,0.2963671128107075,0.14531548757170176,0.8278301886792453,0.8136645962732919,-0.014165592405953387,42,14
ridnet_pca_128_face,ridnet_pca_256,0.8492822966507177,0.9210526315789473,0.0717703349282296,0.13575525812619504,0.24282982791586993,0.10707456978967489,0.8412322274881516,0.8279569892473119,-0.01327523824083976,30,31
ridnet_pca_128_face,ridnet_pca_256_face,0.8492822966507177,0.9401913875598086,0.09090909090909083,0.13575525812619504,0.28680688336520077,0.15105162523900573,0.8412322274881516,0.81789802289282,-0.023334204595331642,38,14
ridnet_pca_256,ridnet_pca_256_face,0.84688995215311,0.930622009569378,0.08373205741626799,0.1644359464627151,0.28298279158699813,0.11854684512428304,0.8251748251748252,0.8146596858638744,-0.010515139310950827,35,10
