hubert_prob,label
0.039228042558171056,0
0.6676063116245218,0
0.11846364679065939,0
0.2342193567797834,0
0.08527987513641748,0
0.6816559295358967,0
0.43365844153462757,0
0.0941904770106199,0
0.0602418084616166,0
0.015341095877215633,0
0.9681347991937287,1
0.6965673433224756,1
0.6859360377147679,1
0.1983108205783505,1
0.2572643677947458,0
0.003452908762771081,0
0.10948645772234117,0
0.016445263482614447,0
0.9976719841499627,1
0.8712570943997846,1
0.9154753437799954,1
0.9792338025177951,1
0.24231888353367984,0
0.011970728613978472,0
0.07945874574584998,0
0.016445263482614447,0
0.9974686153984871,1
0.8991330071617083,1
0.9153202674951734,1
0.9662314117165046,1
0.0021045054719114834,0
0.24231888353367984,0
0.011970728613978472,0
0.10948645772234117,0
0.02197967529417812,0
0.9968531607444252,1
0.8678271213827851,1
0.8918445434389927,1
0.9492329354035645,1
0.9973117276175829,1
0.8573739025419926,1
0.9058311514695501,1
0.9501925986233662,1
0.07019883777688227,0
0.9977706808484075,1
0.8712570943997846,1
0.9036347144460287,1
0.9303674374250223,1
0.9957103504652509,1
0.8573739025419926,1
0.9153202674951734,1
0.9501925986233662,1
0.24857216757880576,0
0.006008364654496378,0
0.07824560493173609,0
0.018416813677662257,0
0.0005836445990548097,0
0.9778151640261911,1
0.5571455175765768,1
0.6722604283413021,1
0.0642804970214795,1
0.326514839833135,0
0.008764243575834153,0
0.06694298539599965,0
0.023228807811025907,0
0.9940093282545853,1
0.2061204188771787,1
0.6940992995212769,1
0.8515952341812836,1
0.9973117276175829,1
0.8640366426849632,1
0.9065104651211351,1
0.9286080413913099,1
0.36531230049777624,0
0.07950482128861114,0
0.833371824714009,0
0.01094367970614813,0
0.3035292243503398,0
0.0320910424396265,0
0.00720306000086422,0
0.8867252270742874,1
0.9928519538152282,1
0.37436380346476805,1
0.010509940770661341,0
0.07318751440534775,0
0.16109677142590442,0
0.8921304274961422,1
0.9933662654912043,1
0.8682250054581268,1
0.14523097758090187,0
0.020307288987586866,0
0.07768470604591733,0
0.1618878172695522,0
0.045111507353311445,0
0.8884568835856985,1
0.9928519538152282,1
0.8512540639943909,1
0.09275406380958255,0
0.03338429940790328,0
0.07053102978449831,0
0.11498184886984238,0
0.8884568835856985,1
0.9908258747612946,1
0.3768819115727557,1
0.8867252270742874,1
0.9958690738774566,1
0.872680173321387,1
0.9064717610421285,1
0.9941055455391683,1
0.8624479413990738,1
0.882553870769649,1
0.9928519538152282,1
0.8456198415064398,1
0.010778291555050269,0
0.07768470604591733,0
0.1468900494498603,0
0.8931178605377732,1
0.9941558057972062,1
0.872680173321387,1
0.008418657170783666,0
0.12480896655402736,0
0.10740801333701175,0
0.882553870769649,1
0.9908258747612946,1
0.8823121440470876,1
